id,cleaned_text,favorites,retweets,date,date_part,time_part,hour,year,month
1.04021e+18,“Middle-Class Income Hits All-Time High!” @foxandfriends  And will continue to rise (unless the Dems get in and destroy what we have built).,56021,13431,2018-09-13 12:25:00,2018-09-13,12:25:00,12,2018,9
1.04021e+18,".....”It is a cesspool of corruption, and the people who did this need to be brought to justice.”  @GreggJarrett",37511,8594,2018-09-13 12:10:00,2018-09-13,12:10:00,12,2018,9
1.04021e+18,"More text messages between former FBI employees Peter Strzok and Lisa Page are a disaster and embarrassment to the FBI &amp, DOJ. This should never have happened but we are learning more and more by the hour. “Others were leaking like mad” in order to get the President! ........",50830,13370,2018-09-13 12:06:00,2018-09-13,12:06:00,12,2018,9
1.0402e+18,"We are completely ready for hurricane Florence, as the storm gets even larger and more powerful. Be careful!",40104,6642,2018-09-13 11:39:00,2018-09-13,11:39:00,11,2018,9
1.0402e+18,"The problem with banker Jamie Dimon running for President is that he doesn’t have the aptitude or “smarts” &amp, is a poor public speaker &amp, nervous mess - otherwise he is wonderful. I’ve made a lot of bankers, and others, look much smarter than they are with my great economic policy!",51209,9286,2018-09-13 11:22:00,2018-09-13,11:22:00,11,2018,9
1.04002e+18,"Tonight, it was my great honor to host a Congressional Medal of Honor Society Reception at the @WhiteHouse! ",46030,9684,2018-12-09 23:21:00,2018-12-09,23:21:00,23,2018,12
1.03992e+18,It is imperative that everyone follow local evacuation orders. This storm is extremely dangerous. Be SAFE! #HurricaneFlorence  ,55962,14465,2018-12-09 16:37:00,2018-12-09,16:37:00,16,2018,12
1.03988e+18,"“I can say, as it relates to the Senate Intelligence Committee Investigation, that we have NO hard evidence of Collusion.”  Richard Burr (R-NC) Senate Intelligence Committee, Chairman",60929,14035,2018-12-09 14:06:00,2018-12-09,14:06:00,14,2018,12
1.03983e+18,"Hurricane Florence is looking even bigger than anticipated. It will be arriving soon. FEMA, First Responders and Law Enforcement are supplied and ready. Be safe!",59509,11540,2018-12-09 10:58:00,2018-12-09,10:58:00,10,2018,12
1.03983e+18,"We got A Pluses for our recent hurricane work in Texas and Florida (and did an unappreciated great job in Puerto Rico, even though an inaccessible island with very poor electricity and a totally incompetent Mayor of San Juan). We are ready for the big one that is coming!",66277,12980,2018-12-09 10:51:00,2018-12-09,10:51:00,10,2018,12
1.03982e+18,"“The President has absolutely demonstrated no wrongdoing whatsoever &amp, that the Special Counsel has no evidence of any wrongdoing. In other words, it’s time to end this Witch Hunt.” @LouDobbs   Russian “collusion” was just an excuse by the Democrats for having lost the Election!",60570,14218,2018-12-09 10:30:00,2018-12-09,10:30:00,10,2018,12
1.03969e+18,"Crazy Maxine Waters: “After we impeach Trump, we’ll go after Mike Pence. We’ll get him.”  @FoxNews  Where are the Democrats coming from? The best Economy in the history of our country would totally collapse if they ever took control!",94180,22945,2018-12-09 01:55:00,2018-12-09,01:55:00,1,2018,12
1.03969e+18,"....giving the information, and causing the appointment of a Special C without having the courage of his own convictions.....”  Alan Dershowitz   @TuckerCarlson   In other words, the whole thing was illegally and very unfairly set up?",53000,12674,2018-12-09 01:28:00,2018-12-09,01:28:00,1,2018,12
1.03968e+18,"“You know who’s at fault for this more than anyone else, Comey, because he leaked information and laundered it through a professor at Columbia Law School. Shame on that professor, and shame on Comey. He snuck the information to a law professor who collaborated with him in........",70522,16863,2018-12-09 01:16:00,2018-12-09,01:16:00,1,2018,12
1.03967e+18,#NeverForget #September11th ,51264,11693,2018-12-09 00:19:00,2018-12-09,00:19:00,0,2018,12
1.03961e+18,"The safety of American people is my absolute highest priority. Heed the directions of your State and Local Officials. Please be prepared, be careful and be SAFE!  ",53854,12458,2018-11-09 20:16:00,2018-11-09,20:16:00,20,2018,11
1.03956e+18,Small Business Optimism Soars to Highest Level Ever | Breitbart  via @BreitbartNews,43480,10650,2018-11-09 16:48:00,2018-11-09,16:48:00,16,2018,11
1.03954e+18,#NeverForget #September11th ,42267,10255,2018-11-09 15:32:00,2018-11-09,15:32:00,15,2018,11
1.0395e+18,17 years since September 11th!,84370,17530,2018-11-09 12:58:00,2018-11-09,12:58:00,12,2018,11
1.03949e+18,"Departing Washington, D.C. to attend a Flight 93 September 11th Memorial Service in Shanksville, Pennsylvania with Melania. #NeverForget ",56660,11844,2018-11-09 12:24:00,2018-11-09,12:24:00,12,2018,11
1.03948e+18,"Rudy Giuliani did a GREAT job as Mayor of NYC during the period of September 11th. His leadership, bravery and skill must never be forgotten. Rudy is a TRUE WARRIOR!",100749,19631,2018-11-09 11:59:00,2018-11-09,11:59:00,11,2018,11
1.03948e+18,“ERIC Holder could be running the Justice Department right now and it would be behaving no differently than it is.” @LouDobbs,48872,10798,2018-11-09 11:41:00,2018-11-09,11:41:00,11,2018,11
1.03947e+18,"New Strzok-Page texts reveal “Media Leak Strategy.”  @FoxNews  So terrible, and NOTHING is being done at DOJ or FBI - but the world is watching, and they get it completely.",70819,18102,2018-11-09 11:19:00,2018-11-09,11:19:00,11,2018,11
1.03947e+18,#NeverForget  #September11th ,52082,13067,2018-11-09 11:12:00,2018-11-09,11:12:00,11,2018,11
1.03947e+18,"“We have found nothing to show collusion between President Trump &amp, Russia, absolutely zero, but every day we get more documentation showing collusion between the FBI &amp, DOJ, the Hillary campaign, foreign spies &amp, Russians, incredible.” @SaraCarterDC @LouDobbs",67260,18077,2018-11-09 11:08:00,2018-11-09,11:08:00,11,2018,11
