id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month
8.77104e+17,karen handel congress fight lower tax great healthcare strong securitya hard worker never give vote today,68037,16843,2017-06-20 10:02:00,2017-06-20 18:02:00,2017-06-20,18:02:00,18,2017,6
8.77101e+17,democrat jon ossoff want raise tax highest level weak crime security doesnt even live district,57942,15069,2017-06-20 09:49:00,2017-06-20 17:49:00,2017-06-20,17:49:00,17,2017,6
8.76964e+17,big day tomorrow georgia south carolina obamacare dead dems want raise tax big obstruct idea vote r,67937,16269,2017-06-20 00:45:00,2017-06-20 08:45:00,2017-06-20,08:45:00,8,2017,6
8.76949e+17,melania offer deepest condolence family otto warmbier full statement,60442,14063,2017-06-19 23:44:00,2017-06-20 07:44:00,2017-06-20,07:44:00,7,2017,6
8.76921e+17,wa great honor welcome president mr varela panama afternoon,32602,5709,2017-06-19 21:53:00,2017-06-20 05:53:00,2017-06-20,05:53:00,5,2017,6
8.76901e+17,doesnt even live want raise tax kill healthcare tuesday,36029,8426,2017-06-19 20:35:00,2017-06-20 04:35:00,2017-06-20,04:35:00,4,2017,6
8.76896e+17,heartfelt thought prayer sailor family,47067,9988,2017-06-19 20:15:00,2017-06-20 04:15:00,2017-06-20,04:15:00,4,2017,6
8.76772e+17,jay sekulow,5481,1174,2017-06-19 11:59:00,2017-06-19 19:59:00,2017-06-19,19:59:00,19,2017,6
8.76558e+17,camp david special place honor spent weekend military run well proud,92057,14533,2017-06-18 21:51:00,2017-06-19 05:51:00,2017-06-19,05:51:00,5,2017,6
8.76395e+17,new rasmussen poll one accurate election trump approval ratingthat higher os,87344,18359,2017-06-18 11:02:00,2017-06-18 19:02:00,2017-06-18,19:02:00,19,2017,6
8.76391e+17,massive regulation cut new legislative bill signed great new scjustice infrastructure healthcare tax cut work,74612,14317,2017-06-18 10:46:00,2017-06-18 18:46:00,2017-06-18,18:46:00,18,2017,6
8.76389e+17,make america great agenda well despite distraction witch hunt many new job high business enthusiasm,85278,16825,2017-06-18 10:38:00,2017-06-18 18:38:00,2017-06-18,18:38:00,18,2017,6
8.75888e+17,back miami cuban american friend happy signed today another campaign promise forget,87848,16695,2017-06-17 01:30:00,2017-06-17 09:30:00,2017-06-17,09:30:00,9,2017,6
8.75844e+17,national security presidential memorandum strengthening policy united state toward cuba memorandum,36830,7461,2017-06-16 22:32:00,2017-06-17 06:32:00,2017-06-17,06:32:00,6,2017,6
8.7584e+17,remark president trump policy u towards cuba video,38850,8395,2017-06-16 22:18:00,2017-06-17 06:18:00,2017-06-17,06:18:00,6,2017,6
8.75683e+17,month investigation committee hearing collusion russian nobody ha able show proof sad,91588,20055,2017-06-16 11:53:00,2017-06-16 19:53:00,2017-06-16,19:53:00,19,2017,6
8.75501e+17,,63526,13541,2017-06-15 23:49:00,2017-06-16 07:49:00,2017-06-16,07:49:00,7,2017,6
8.75469e+17,thank wisconsin tuesday wa great success w remark,41498,7455,2017-06-15 21:43:00,2017-06-16 05:43:00,2017-06-16,05:43:00,5,2017,6
8.75321e+17,witnessing single greatest witch hunt american political history led bad conflicted people,100523,28013,2017-06-15 11:57:00,2017-06-15 19:57:00,2017-06-15,19:57:00,19,2017,6
8.75306e+17,made phony collusion russian story found zero proof go obstruction justice phony story nice,118226,32612,2017-06-15 10:55:00,2017-06-15 18:55:00,2017-06-15,18:55:00,18,2017,6
8.75166e+17,left hospital rep steve scalise one truly great people tough shape real fighter pray steve,164722,32745,2017-06-15 01:41:00,2017-06-15 09:41:00,2017-06-15,09:41:00,9,2017,6
8.74822e+17,got back wisconsin great day great people,71742,9389,2017-06-14 02:53:00,2017-06-14 10:53:00,2017-06-14,10:53:00,10,2017,6
8.74768e+17,passage accountability whistleblower protection act great news veteran lo,48354,10937,2017-06-13 23:18:00,2017-06-14 07:18:00,2017-06-14,07:18:00,7,2017,6
8.74728e+17,arrived wisconsin discus job job job,56435,10060,2017-06-13 20:41:00,2017-06-14 04:41:00,2017-06-14,04:41:00,4,2017,6
8.74578e+17,well predicted th circuit ruled travel ban dangerous time history country c,55241,13337,2017-06-13 10:44:00,2017-06-13 18:44:00,2017-06-13,18:44:00,18,2017,6
8.74576e+17,fake news medium ha never wrong dirty purposely incorrect story phony source meet agenda hate sad,79991,19476,2017-06-13 10:35:00,2017-06-13 18:35:00,2017-06-13,18:35:00,18,2017,6
8.74419e+17,congratulation tiger full ceremony,39478,7913,2017-06-13 00:09:00,2017-06-13 08:09:00,2017-06-13,08:09:00,8,2017,6
8.74373e+17,finally held first full meeting today great team restore american prosperity br,62912,13303,2017-12-06 21:10:00,2017-12-07 05:10:00,2017-12-07,05:10:00,5,2017,12
8.74219e+17,ivanka,37975,3973,2017-12-06 10:55:00,2017-12-06 18:55:00,2017-12-06,18:55:00,18,2017,12
8.74087e+17,great number economy work including passage many bill regulation killing executive order kicking,74366,15131,2017-12-06 02:14:00,2017-12-06 10:14:00,2017-12-06,10:14:00,10,2017,12
8.73644e+17,america going build budget ahead schedule time put,67340,15745,2017-10-06 20:52:00,2017-10-07 04:52:00,2017-10-07,04:52:00,4,2017,10
8.73354e+17,time start building country american worker american iron aluminum steel time,79626,17403,2017-10-06 01:38:00,2017-10-06 09:38:00,2017-10-06,09:38:00,9,2017,10
8.73312e+17,time rebuild country bring back job restore dream yes put ty,77553,17413,2017-09-06 22:52:00,2017-09-07 06:52:00,2017-09-07,06:52:00,6,2017,9
