id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,sentiment_score,compound
8.9611e+17,"""""""Consumer Comfort Reaches -Year High on U.S. Economic Optimism"""" via Bloomberg """,44145,9450,2017-11-08 20:42:00,2017-11-09 04:42:00,2017-11-09,04:42:00,4,2017,11,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.4019}",0.4019
9.19314e+17,The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!,59367,12447,2017-10-14 21:27:00,2017-10-15 05:27:00,2017-10-15,05:27:00,5,2017,10,"{'neg': 0.127, 'neu': 0.769, 'pos': 0.104, 'compound': -0.1511}",-0.1511
9.19163e+17,Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!,99506,17749,2017-10-14 11:27:00,2017-10-14 19:27:00,2017-10-14,19:27:00,19,2017,10,"{'neg': 0.076, 'neu': 0.625, 'pos': 0.298, 'compound': 0.7495}",0.7495
9.19161e+17,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",70206,14216,2017-10-14 11:18:00,2017-10-14 19:18:00,2017-10-14,19:18:00,19,2017,10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.19013e+17,"""Such a wonderful statement from the great . """"We take up what may be the most accomplished presidency in modern American history.""""""",57264,12597,2017-10-14 01:31:00,2017-10-14 09:31:00,2017-10-14,09:31:00,9,2017,10,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.8999}",0.8999
9.19009e+17,"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp, deductibles are way up!",51169,9703,2017-10-14 01:17:00,2017-10-14 09:17:00,2017-10-14,09:17:00,9,2017,10,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.6239}",-0.6239
9.19008e+17,"Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.Dems must get smart &amp, deal!",57608,12333,2017-10-14 01:10:00,2017-10-14 09:10:00,2017-10-14,09:10:00,9,2017,10,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.7088}",0.7088
9.19006e+17,"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",45233,8726,2017-10-14 01:02:00,2017-10-14 09:02:00,2017-10-14,09:02:00,9,2017,10,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.5411}",0.5411
9.19003e+17,Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.,59187,11352,2017-10-14 00:53:00,2017-10-14 08:53:00,2017-10-14,08:53:00,8,2017,10,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.6908}",0.6908
9.1896e+17,🇺🇸,34542,8219,2017-10-13 22:01:00,2017-10-14 06:01:00,2017-10-14,06:01:00,6,2017,10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.18806e+17,"Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime",77037,17606,2017-10-13 11:51:00,2017-10-13 19:51:00,2017-10-13,19:51:00,19,2017,10,"{'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.8579}",-0.8579
9.18797e+17,ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!,63724,12099,2017-10-13 11:14:00,2017-10-13 19:14:00,2017-10-13,19:14:00,19,2017,10,"{'neg': 0.191, 'neu': 0.578, 'pos': 0.231, 'compound': 0.2942}",0.2942
9.18796e+17,"Sadly, they and others are Fake News, and the public is just beginning to figure it out!",42580,9073,2017-10-13 11:10:00,2017-10-13 19:10:00,2017-10-13,19:10:00,19,2017,10,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.7345}",-0.7345
9.18773e+17,The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!,53359,10978,2017-10-13 09:36:00,2017-10-13 17:36:00,2017-10-13,17:36:00,17,2017,10,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.2942}",-0.2942
9.18647e+17,"It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS!",57873,12905,2017-10-13 01:18:00,2017-10-13 09:18:00,2017-10-13,09:18:00,9,2017,10,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.8984}",0.8984
9.18631e+17,People are just now starting to find out how dishonest and disgusting (FakeNews) is. Viewers beware. May be worse than even !,72053,16957,2017-10-13 00:12:00,2017-10-13 08:12:00,2017-10-13,08:12:00,8,2017,10,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.8883}",-0.8883
9.18572e+17,Happy !📸,42043,8644,2017-12-10 20:19:00,2017-12-11 04:19:00,2017-12-11,04:19:00,4,2017,12,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.6114}",0.6114
9.18433e+17,"...We cannot keep FEMA, the Military &amp, the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!",54280,10468,2017-12-10 11:07:00,2017-12-10 19:07:00,2017-12-10,19:07:00,19,2017,12,"{'neg': 0.104, 'neu': 0.744, 'pos': 0.152, 'compound': 0.318}",0.318
9.18431e+17,...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....,42660,7929,2017-12-10 10:58:00,2017-12-10 18:58:00,2017-12-10,18:58:00,18,2017,12,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.6249}",-0.6249
9.18428e+17,"""""""Puerto Rico survived the Hurricanes, now a financial crisis looms largely of their own making."""" says Sharyl Attkisson. A total lack of.....""",39454,7918,2017-12-10 10:49:00,2017-12-10 18:49:00,2017-12-10,18:49:00,18,2017,12,"{'neg': 0.293, 'neu': 0.586, 'pos': 0.121, 'compound': -0.5719}",-0.5719
9.18417e+17,Clips from tax speech and on now. Have a great day!,31556,5208,2017-12-10 10:04:00,2017-12-10 18:04:00,2017-12-10,18:04:00,18,2017,12,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.6588}",0.6588
9.18275e+17,"In even the darkest moments, the light of our people has shown through their goodness, their courage and their love. 🇺🇸",51234,10578,2017-12-10 00:40:00,2017-12-10 08:40:00,2017-12-10,08:40:00,8,2017,12,"{'neg': 0.105, 'neu': 0.556, 'pos': 0.34, 'compound': 0.802}",0.802
9.18267e+17,"Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!",72622,15551,2017-12-10 00:09:00,2017-12-10 08:09:00,2017-12-10,08:09:00,8,2017,12,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.8286}",-0.8286
9.18264e+17,Joining tonight at pmE on . Enjoy!,26748,4332,2017-11-10 23:56:00,2017-11-11 07:56:00,2017-11-11,07:56:00,7,2017,11,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.5411}",0.5411
9.18257e+17,"We need a tax system that is FAIR to working families &amp, that encourages companies to STAY in America, GROW in America, and HIRE in America🇺🇸",47955,9768,2017-11-10 23:28:00,2017-11-11 07:28:00,2017-11-11,07:28:00,7,2017,11,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.7125}",0.7125
9.18228e+17,I will be interviewed tonight on by at pmE. Enjoy!,48507,8095,2017-11-10 21:32:00,2017-11-11 05:32:00,2017-11-11,05:32:00,5,2017,11,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5411}",0.5411
9.18224e+17,"Join me LIVE at :45pmE from Harrisburg, Pennsylvania! 🇺🇸",23615,4014,2017-11-10 21:18:00,2017-11-11 05:18:00,2017-11-11,05:18:00,5,2017,11,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3595}",0.3595
9.18065e+17,It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY,89440,16132,2017-11-10 10:47:00,2017-11-10 18:47:00,2017-11-10,18:47:00,18,2017,11,"{'neg': 0.068, 'neu': 0.786, 'pos': 0.146, 'compound': 0.4939}",0.4939
9.18063e+17,"The Democrats want MASSIVE tax increases &amp, soft, crime producing borders.The Republicans want the biggest tax cut in history &amp, the WALL!",70836,15166,2017-11-10 10:36:00,2017-11-10 18:36:00,2017-11-10,18:36:00,18,2017,11,"{'neg': 0.222, 'neu': 0.679, 'pos': 0.098, 'compound': -0.6476}",-0.6476
9.18061e+17,It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts,62324,12026,2017-11-10 10:31:00,2017-11-10 18:31:00,2017-11-10,18:31:00,18,2017,11,"{'neg': 0.177, 'neu': 0.633, 'pos': 0.19, 'compound': 0.101}",0.101
9.1806e+17,"...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds.",46189,8752,2017-11-10 10:26:00,2017-11-10 18:26:00,2017-11-10,18:26:00,18,2017,11,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296
9.18059e+17,"Stock Market has increased by Trillion dollars since the election on November th, a % increase. Lowest unemployment in years and..",67279,14352,2017-11-10 10:21:00,2017-11-10 18:21:00,2017-11-10,18:21:00,18,2017,11,"{'neg': 0.221, 'neu': 0.602, 'pos': 0.177, 'compound': -0.2732}",-0.2732
9.17923e+17,"...fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!",64639,12241,2017-11-10 01:21:00,2017-11-10 09:21:00,2017-11-10,09:21:00,9,2017,11,"{'neg': 0.116, 'neu': 0.658, 'pos': 0.226, 'compound': 0.5451}",0.5451
9.17922e+17,"The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....",57732,12404,2017-11-10 01:15:00,2017-11-10 09:15:00,2017-11-10,09:15:00,9,2017,11,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.7579}",-0.7579
9.17895e+17,My great honor to host the back-to-back Champion Pittsburgh Penguins at the WH with today!,55579,11089,2017-10-10 23:29:00,2017-10-11 07:29:00,2017-10-11,07:29:00,7,2017,10,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.9098}",0.9098
9.17702e+17,"""With Jemele Hill at the mike, it is no wonder ESPN ratings have """"tanked,"""" in fact, tanked so badly it is the talk of the industry!""",79742,15577,2017-10-10 10:42:00,2017-10-10 18:42:00,2017-10-10,18:42:00,18,2017,10,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.7567}",-0.7567
9.17699e+17,"Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST",83555,17638,2017-10-10 10:30:00,2017-10-10 18:30:00,2017-10-10,18:30:00,18,2017,10,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6249}",0.6249
9.17696e+17,"The problem with agreeing to a policy on immigration is that the Democrats don't want secure borders,they don't care about safety for U.S.A.",71836,17234,2017-10-10 10:18:00,2017-10-10 18:18:00,2017-10-10,18:18:00,18,2017,10,"{'neg': 0.372, 'neu': 0.546, 'pos': 0.082, 'compound': -0.7592}",-0.7592
9.17695e+17,"Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!",117135,25938,2017-10-10 10:13:00,2017-10-10 18:13:00,2017-10-10,18:13:00,18,2017,10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.17578e+17,We have just begun!,1787,474,2017-10-10 02:30:00,2017-10-10 10:30:00,2017-10-10,10:30:00,10,2017,10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.17568e+17,"""A big salute to Jerry Jones, owner of the Dallas Cowboys, who will BENCH players who disrespect our Flag.""""Stand for Anthem or sit for game!""""""",141986,27494,2017-10-10 01:51:00,2017-10-10 09:51:00,2017-10-10,09:51:00,9,2017,10,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4753}",-0.4753
9.17345e+17,The trip by Pence was long planned. He is receiving great praise for leaving game after the players showed such disrespect for country!,92173,16388,2017-09-10 11:05:00,2017-09-10 19:05:00,2017-09-10,19:05:00,19,2017,9,"{'neg': 0.091, 'neu': 0.65, 'pos': 0.26, 'compound': 0.7345}",0.7345
9.17342e+17,"Our country has been unsuccessfully dealing with North Korea for years, giving billions of dollars &amp, getting nothing. Policy didn't work!",90852,16965,2017-09-10 10:50:00,2017-09-10 18:50:00,2017-09-10,18:50:00,18,2017,9,"{'neg': 0.123, 'neu': 0.779, 'pos': 0.098, 'compound': -0.1511}",-0.1511
