id,cleaned_text,favorites,retweets,date,date_new,date_part,time_part,hour,year,month,cleaned_text2,emoji_free_tweets,url_free_tweets
1.07432e+18,"judge ken starr, former solicitor generel &amp, independent counsel, just stated that, after two years, “there is no evidence or proof of collusion” &amp, further that “there is no evidence that there was a campaign financing violation involving the president.” thank you judge. @foxnews",72135,17743,2018-12-16 15:20:00,2018-12-16 23:20:00,2018-12-16,23:20:00,23,2018,12,judge ken starr former solicitor generel amp independent counsel just stated that after two years “there is no evidence or proof of collusion” amp further that “there is no evidence that there was a campaign financing violation involving the president” thank you judge foxnews,"judge ken starr, former solicitor generel &amp, independent counsel, just stated that, after two years, “there is no evidence or proof of collusion” &amp, further that “there is no evidence that there was a campaign financing violation involving the president.” thank you judge. @foxnews","judge ken starr, former solicitor generel &amp, independent counsel, just stated that, after two years, “there is no evidence or proof of collusion” &amp, further that “there is no evidence that there was a campaign financing violation involving the president.” thank you judge. @foxnews"
1.07432e+18,"at the request of many, i will be reviewing the case of a “u.s. military hero,” major matt golsteyn, who is charged with murder. he could face the death penalty from our own government after he admitted to killing a terrorist bomb maker while overseas. @petehegseth @foxnews",87158,21270,2018-12-16 15:03:00,2018-12-16 23:03:00,2018-12-16,23:03:00,23,2018,12,at the request of many i will be reviewing the case of a “us military hero” major matt golsteyn who is charged with murder he could face the death penalty from our own government after he admitted to killing a terrorist bomb maker while overseas petehegseth foxnews,"at the request of many, i will be reviewing the case of a “u.s. military hero,” major matt golsteyn, who is charged with murder. he could face the death penalty from our own government after he admitted to killing a terrorist bomb maker while overseas. @petehegseth @foxnews","at the request of many, i will be reviewing the case of a “u.s. military hero,” major matt golsteyn, who is charged with murder. he could face the death penalty from our own government after he admitted to killing a terrorist bomb maker while overseas. @petehegseth @foxnews"
1.07431e+18,"remember, michael cohen only became a “rat” after the fbi did something which was absolutely unthinkable &amp, unheard of until the witch hunt was illegally started. they broke into an attorney’s office! why didn’t they break into the dnc to get the server, or crooked’s office?",110437,26308,2018-12-16 14:39:00,2018-12-16 22:39:00,2018-12-16,22:39:00,22,2018,12,remember michael cohen only became a “rat” after the fbi did something which was absolutely unthinkable amp unheard of until the witch hunt was illegally started they broke into an attorney’s office why didn’t they break into the dnc to get the server or crooked’s office,"remember, michael cohen only became a “rat” after the fbi did something which was absolutely unthinkable &amp, unheard of until the witch hunt was illegally started. they broke into an attorney’s office! why didn’t they break into the dnc to get the server, or crooked’s office?","remember, michael cohen only became a “rat” after the fbi did something which was absolutely unthinkable &amp, unheard of until the witch hunt was illegally started. they broke into an attorney’s office! why didn’t they break into the dnc to get the server, or crooked’s office?"
1.07431e+18,"so where are all the missing text messages between fired fbi agents peter s and the lovely lisa page, his lover. just reported that they have been erased and wiped clean. what an outrage as the totally compromised and conflicted witch hunt moves ever so slowly forward. want them!",88297,21057,2018-12-16 14:11:00,2018-12-16 22:11:00,2018-12-16,22:11:00,22,2018,12,so where are all the missing text messages between fired fbi agents peter s and the lovely lisa page his lover just reported that they have been erased and wiped clean what an outrage as the totally compromised and conflicted witch hunt moves ever so slowly forward want them,"so where are all the missing text messages between fired fbi agents peter s and the lovely lisa page, his lover. just reported that they have been erased and wiped clean. what an outrage as the totally compromised and conflicted witch hunt moves ever so slowly forward. want them!","so where are all the missing text messages between fired fbi agents peter s and the lovely lisa page, his lover. just reported that they have been erased and wiped clean. what an outrage as the totally compromised and conflicted witch hunt moves ever so slowly forward. want them!"
1.0743e+18,"a real scandal is the one sided coverage, hour by hour, of networks like nbc &amp, democrat spin machines like saturday night live. it is all nothing less than unfair news coverage and dem commercials. should be tested in courts, can’t be legal? only defame &amp, belittle! collusion?",83916,19453,2018-12-16 13:58:00,2018-12-16 21:58:00,2018-12-16,21:58:00,21,2018,12,a real scandal is the one sided coverage hour by hour of networks like nbc amp democrat spin machines like saturday night live it is all nothing less than unfair news coverage and dem commercials should be tested in courts can’t be legal only defame amp belittle collusion,"a real scandal is the one sided coverage, hour by hour, of networks like nbc &amp, democrat spin machines like saturday night live. it is all nothing less than unfair news coverage and dem commercials. should be tested in courts, can’t be legal? only defame &amp, belittle! collusion?","a real scandal is the one sided coverage, hour by hour, of networks like nbc &amp, democrat spin machines like saturday night live. it is all nothing less than unfair news coverage and dem commercials. should be tested in courts, can’t be legal? only defame &amp, belittle! collusion?"
1.07398e+18,"wow, 19,000 texts between lisa page and her lover, peter s of the fbi, in charge of the russia hoax, were just reported as being wiped clean and gone. such a big story that will never be covered by the fake news. witch hunt!",105136,29362,2018-12-15 16:45:00,2018-12-16 00:45:00,2018-12-16,00:45:00,0,2018,12,wow  texts between lisa page and her lover peter s of the fbi in charge of the russia hoax were just reported as being wiped clean and gone such a big story that will never be covered by the fake news witch hunt,"wow, 19,000 texts between lisa page and her lover, peter s of the fbi, in charge of the russia hoax, were just reported as being wiped clean and gone. such a big story that will never be covered by the fake news. witch hunt!","wow, 19,000 texts between lisa page and her lover, peter s of the fbi, in charge of the russia hoax, were just reported as being wiped clean and gone. such a big story that will never be covered by the fake news. witch hunt!"
1.07397e+18,"the pathetic and dishonest weekly standard, run by failed prognosticator bill kristol (who, like many others, never had a clue), is flat broke and out of business. too bad. may it rest in peace!",88736,18411,2018-12-15 16:15:00,2018-12-16 00:15:00,2018-12-16,00:15:00,0,2018,12,the pathetic and dishonest weekly standard run by failed prognosticator bill kristol who like many others never had a clue is flat broke and out of business too bad may it rest in peace,"the pathetic and dishonest weekly standard, run by failed prognosticator bill kristol (who, like many others, never had a clue), is flat broke and out of business. too bad. may it rest in peace!","the pathetic and dishonest weekly standard, run by failed prognosticator bill kristol (who, like many others, never had a clue), is flat broke and out of business. too bad. may it rest in peace!"
1.07397e+18,"never in the history of our country has the “press” been more dishonest than it is today. stories that should be good, are bad. stories that should be bad, are horrible. many stories, like with the real story on russia, clinton &amp, the dnc, seldom get reported. too bad!",124356,30906,2018-12-15 15:37:00,2018-12-15 23:37:00,2018-12-15,23:37:00,23,2018,12,never in the history of our country has the “press” been more dishonest than it is today stories that should be good are bad stories that should be bad are horrible many stories like with the real story on russia clinton amp the dnc seldom get reported too bad,"never in the history of our country has the “press” been more dishonest than it is today. stories that should be good, are bad. stories that should be bad, are horrible. many stories, like with the real story on russia, clinton &amp, the dnc, seldom get reported. too bad!","never in the history of our country has the “press” been more dishonest than it is today. stories that should be good, are bad. stories that should be bad, are horrible. many stories, like with the real story on russia, clinton &amp, the dnc, seldom get reported. too bad!"
1.07395e+18,.......the trump administration will be announcing the new secretary of the interior next week.,54462,8966,2018-12-15 14:18:00,2018-12-15 22:18:00,2018-12-15,22:18:00,22,2018,12,the trump administration will be announcing the new secretary of the interior next week,.......the trump administration will be announcing the new secretary of the interior next week.,.......the trump administration will be announcing the new secretary of the interior next week.
1.07394e+18,secretary of the interior @ryanzinke will be leaving the administration at the end of the year after having served for a period of almost two years. ryan has accomplished much during his tenure and i want to thank him for his service to our nation.......,56544,9723,2018-12-15 14:14:00,2018-12-15 22:14:00,2018-12-15,22:14:00,22,2018,12,secretary of the interior ryanzinke will be leaving the administration at the end of the year after having served for a period of almost two years ryan has accomplished much during his tenure and i want to thank him for his service to our nation,secretary of the interior @ryanzinke will be leaving the administration at the end of the year after having served for a period of almost two years. ryan has accomplished much during his tenure and i want to thank him for his service to our nation.......,secretary of the interior @ryanzinke will be leaving the administration at the end of the year after having served for a period of almost two years. ryan has accomplished much during his tenure and i want to thank him for his service to our nation.......
