id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month
9.46211e+17,arrests of ms members associates up under trump,71955,16355,2017-12-28 02:46:00,2017-12-28 10:46:00,2017-12-28,10:46:00,10,2017,12
9.46201e+17,on the day trump was inaugurated an estimated isis fighters held approx square miles of territory in both iraq and syria as of the u s military est the remaining or so fighters occupy roughly square miles,58623,15449,2017-12-28 02:09:00,2017-12-28 10:09:00,2017-12-28,10:09:00,10,2017,12
9.46157e+17,just left west palm beach fire amp rescue met with great men and women as representatives of those who do so much for all of us firefighters paramedics first responders what amazing people they are,93854,14495,2017-12-27 23:11:00,2017-12-28 07:11:00,2017-12-28,07:11:00,7,2017,12
9.46151e+17,on the day trump was inaugurated an estimated isis fighters held approx square miles of territory in both iraq and syria as of the u s military estimates the remaining or so fighters occupy roughly square miles via,38520,12128,2017-12-27 10:49:00,2017-12-27 18:49:00,2017-12-27,18:49:00,18,2017,12
9.45781e+17,all signs are that business is looking really good for next year only to be helped further by our tax cut bill will be a great year for companies and jobs stock market is poised for another year of success,111975,20029,2017-12-26 22:17:00,2017-12-27 06:17:00,2017-12-27,06:17:00,6,2017,12
9.45625e+17,based on the fact that the very unfair and unpopular individual mandate has been terminated as part of our tax cut bill which essentially repeals over time obamacare the democrats amp republicans will eventually come together and develop a great new healthcare plan,93839,16116,2017-12-26 11:58:00,2017-12-26 19:58:00,2017-12-26,19:58:00,19,2017,12
9.45437e+17,i hope everyone is having a great christmas then tomorrow its back to work in order to make america great again which is happening faster than anyone anticipated,170034,26868,2017-12-25 23:33:00,2017-12-26 07:33:00,2017-12-26,07:33:00,7,2017,12
9.45126e+17,people are proud to be saying merry christmas again i am proud to have led the charge against the assault of our cherished and beautiful phrase merry christmas,197316,42780,2017-12-25 02:56:00,2017-12-25 10:56:00,2017-12-25,10:56:00,10,2017,12
9.4503e+17,the tax cut reform bill including massive alaska drilling and the repeal of the highly unpopular individual mandate brought it all together as to what an incredible year we had dont let the fake news convince you otherwise and our insider polls are strong,94399,18061,2017-12-24 20:35:00,2017-12-25 04:35:00,2017-12-25,04:35:00,4,2017,12
9.44704e+17,remember the republicans are in congressional races this year in senate i said roy m would lose in alabama and supported big luther strange and roy lost virginia candidate was not a trumper and he lost good republican candidates will win big,71771,12955,2017-12-23 22:57:00,2017-12-24 06:57:00,2017-12-24,06:57:00,6,2017,12
9.447e+17,the stock market is setting record after record and unemployment is at a year low so many things accomplished by the trump administration perhaps more than any other president in first year sadly will never be reported correctly by the fake news media,85863,17736,2017-12-23 22:44:00,2017-12-24 06:44:00,2017-12-24,06:44:00,6,2017,12
